index,epoch,train_return_mean_mean,train_return_mean_std,num_seeds,label,env_id
45,46,273.5482067698409,168.31185779476374,3,NPG 1x stepsize,Hopper-v5
46,47,275.06174340178086,163.99615225439098,3,NPG 1x stepsize,Hopper-v5
47,48,277.6436680928909,160.6450377862402,3,NPG 1x stepsize,Hopper-v5
48,49,279.1841383492483,154.73589025167377,3,NPG 1x stepsize,Hopper-v5
49,50,282.17844935517905,149.55792094609328,3,NPG 1x stepsize,Hopper-v5
50,51,286.3691706987376,145.4114631358456,3,NPG 1x stepsize,Hopper-v5
51,52,288.9114727840045,139.295043127778,3,NPG 1x stepsize,Hopper-v5
52,53,294.2656422797335,133.7553314839642,3,NPG 1x stepsize,Hopper-v5
53,54,298.43839696121586,129.51774967219188,3,NPG 1x stepsize,Hopper-v5
54,55,302.4778454722496,125.00658821658745,3,NPG 1x stepsize,Hopper-v5
55,56,304.3043005914066,117.91089542783256,3,NPG 1x stepsize,Hopper-v5
56,57,308.2753888350786,114.92855967670582,3,NPG 1x stepsize,Hopper-v5
57,58,309.95991933676146,110.40651663350808,3,NPG 1x stepsize,Hopper-v5
58,59,311.97410179933735,107.30033048379951,3,NPG 1x stepsize,Hopper-v5
59,60,314.43313914356855,106.38696948957856,3,NPG 1x stepsize,Hopper-v5
60,61,314.8614234461924,103.22134604321437,3,NPG 1x stepsize,Hopper-v5
61,62,315.6095705941902,100.79375648966278,3,NPG 1x stepsize,Hopper-v5
62,63,316.4394951207336,99.76440712944832,3,NPG 1x stepsize,Hopper-v5
63,64,317.4524503792068,99.3628007018803,3,NPG 1x stepsize,Hopper-v5
64,65,317.87186804366365,98.46978363399865,3,NPG 1x stepsize,Hopper-v5
65,66,318.34348423493145,97.30190631636727,3,NPG 1x stepsize,Hopper-v5
66,67,320.1479290857107,98.5063725612769,3,NPG 1x stepsize,Hopper-v5
67,68,320.3215280206179,97.30033375684881,3,NPG 1x stepsize,Hopper-v5
68,69,320.19575921575034,96.25835030660832,3,NPG 1x stepsize,Hopper-v5
69,70,321.24500244800066,96.51229504698507,3,NPG 1x stepsize,Hopper-v5
70,71,320.4840908279761,95.22226415346073,3,NPG 1x stepsize,Hopper-v5
71,72,320.74691635202134,94.14694369203241,3,NPG 1x stepsize,Hopper-v5
72,73,320.75063262333816,93.39971986166236,3,NPG 1x stepsize,Hopper-v5
73,74,321.3431807773188,93.40474910835391,3,NPG 1x stepsize,Hopper-v5
74,75,321.689765855634,92.76166453638096,3,NPG 1x stepsize,Hopper-v5
75,76,322.0996682665463,92.9648416254337,3,NPG 1x stepsize,Hopper-v5
76,77,321.7250207694843,91.85685521054444,3,NPG 1x stepsize,Hopper-v5
